Date,Amount,Yield,,
11/11/2021,$0.22 ,0.60%,,
8/12/2021,$0.22 ,0.60%,,
5/13/2021,$0.22 ,0.70%,,
2/11/2021,$0.21 ,0.60%,,
11/12/2020,$0.21 ,0.70%,,
8/13/2020,$0.82 ,0.70%,,
5/14/2020,$0.82 ,1.10%,,
2/13/2020,$0.77 ,1%,,
11/14/2019,$0.77 ,1.20%,,
8/15/2019,$0.77 ,1.50%,,
5/16/2019,$0.77 ,1.60%,,
2/14/2019,$0.73 ,1.70%,,
11/15/2018,$0.73 ,1.40%,,
8/16/2018,$0.73 ,1.40%,,
5/17/2018,$0.73 ,1.50%,,
2/15/2018,$0.63 ,1.60%,,
11/16/2017,$0.63 ,1.40%,,
8/17/2017,$0.63 ,1.60%,,
5/18/2017,$0.63 ,1.60%,,
2/16/2017,$0.57 ,1.70%,,
11/10/2016,$0.57 ,2.10%,,
8/11/2016,$0.57 ,2.20%,,
5/12/2016,$0.57 ,2.40%,,
2/11/2016,$0.52 ,2.20%,,
11/12/2015,$0.52 ,1.70%,,
8/13/2015,$0.52 ,1.80%,,
5/14/2015,$0.52 ,1.70%,,
2/12/2015,$0.47 ,1.60%,,
11/13/2014,$0.47 ,1.70%,,
8/14/2014,$0.47 ,2%,,
5/15/2014,$3.29 ,8.70%,,
2/13/2014,$3.05 ,2.40%,,
11/14/2013,$3.05 ,2.30%,,
8/15/2013,$3.05 ,2.60%,,
5/16/2013,$3.05 ,2.70%,,
2/14/2013,$2.65 ,2.30%,,
11/15/2012,$2.65 ,1.90%,,
8/16/2012,$2.65 ,1.70%,,
