Pay. Date,Amount
12/1/2021,$0.10 
12/2/2019,$0.15 
9/3/2019,$0.15 
6/3/2019,$0.15 
12/3/2018,$0.15 
9/4/2018,$0.15 
6/1/2018,$0.15 
12/1/2017,$0.15 
9/1/2017,$0.15 
6/1/2017,$0.15 
3/1/2017,$0.15 
3/1/2017,$0.05 
12/1/2016,$0.15 
9/1/2016,$0.15 
6/1/2016,$0.15 
3/1/2016,$0.15 
12/1/2015,$0.15 
9/1/2015,$0.15 
6/1/2015,$0.15 
3/2/2015,$0.15 
12/1/2014,$0.13 
9/2/2014,$0.13 
6/2/2014,$0.13 
3/3/2014,$0.13 
12/2/2013,$0.10 
9/3/2013,$0.10 
6/3/2013,$0.10 
3/1/2013,$0.10 
12/3/2012,$0.05 
9/4/2012,$0.05 
6/1/2012,$0.05 
3/1/2012,$0.05 
3/1/2016,$0.25 
