Ex-Div. Date,Amount,Type,Yield,Change,Decl. Date,Rec. Date,Pay. Date,Details
10/7/2021,$0.52 ,Quarter,7.70%,N/A,9/23/2021,10/11/2021,11/1/2021,Details
7/8/2021,$0.52 ,Quarter,7.40%,N/A,6/25/2021,7/9/2021,8/2/2021,Details
4/8/2021,$0.52 ,Quarter,6.90%,N/A,3/26/2021,4/9/2021,5/3/2021,Details
1/8/2021,$0.52 ,Quarter,7.20%,N/A,12/11/2020,1/11/2021,2/1/2021,Details
10/8/2020,$0.52 ,Quarter,7.30%,N/A,9/25/2020,10/12/2020,11/2/2020,Details
7/9/2020,$0.52 ,Quarter,7%,N/A,6/26/2020,7/10/2020,8/3/2020,Details
4/8/2020,$0.52 ,Quarter,7%,N/A,3/27/2020,4/9/2020,5/1/2020,Details
1/9/2020,$0.52 ,Quarter,5.40%,2%,12/13/2019,1/10/2020,2/3/2020,Details
10/9/2019,$0.51 ,Quarter,5.50%,N/A,9/26/2019,10/10/2019,11/1/2019,Details
7/9/2019,$0.51 ,Quarter,6.10%,N/A,6/28/2019,7/10/2019,8/1/2019,Details
4/9/2019,$0.51 ,Quarter,6.40%,N/A,3/29/2019,4/10/2019,5/1/2019,Details
1/9/2019,$0.51 ,Quarter,6.80%,2%,12/14/2018,1/10/2019,2/1/2019,Details
10/9/2018,$0.50 ,Quarter,6%,N/A,9/28/2018,10/10/2018,11/1/2018,Details
7/9/2018,$0.50 ,Quarter,6.20%,N/A,6/29/2018,7/10/2018,8/1/2018,Details
4/9/2018,$0.50 ,Quarter,5.70%,N/A,4/2/2018,4/10/2018,5/1/2018,Details
1/9/2018,$0.50 ,Quarter,5.30%,2%,12/15/2017,1/10/2018,2/1/2018,Details
10/6/2017,$0.49 ,Quarter,5.10%,N/A,9/29/2017,10/10/2017,11/1/2017,Details
7/6/2017,$0.49 ,Quarter,5.30%,N/A,6/30/2017,7/10/2017,8/1/2017,Details
4/6/2017,$0.49 ,Quarter,4.80%,N/A,3/31/2017,4/10/2017,5/1/2017,Details
1/6/2017,$0.49 ,Quarter,4.70%,2.10%,10/24/2016,1/10/2017,2/1/2017,Details
10/5/2016,$0.48 ,Quarter,4.90%,N/A,9/30/2016,10/10/2016,11/1/2016,Details
7/6/2016,$0.48 ,Quarter,4.50%,N/A,6/24/2016,7/8/2016,8/1/2016,Details
4/6/2016,$0.48 ,Quarter,5%,N/A,3/28/2016,4/8/2016,5/2/2016,Details
1/6/2016,$0.48 ,Quarter,5.60%,2.10%,12/18/2015,1/8/2016,2/1/2016,Details
10/7/2015,$0.47 ,Quarter,5.70%,N/A,9/25/2015,10/9/2015,11/2/2015,Details
7/8/2015,$0.47 ,Quarter,5.40%,N/A,6/26/2015,7/10/2015,8/3/2015,Details
