Announced ,Period,Amount,Yield,Ex-Dividend,Record Date,Payable Date
9/14/2021,quarterly,$0.62 ,0.83%,11/17/2021,11/18/2021,12/9/2021
6/16/2021,quarterly,$0.56 ,0.87%,8/18/2021,8/19/2021,9/9/2021
3/16/2021,quarterly,$0.56 ,0.94%,5/19/2021,5/20/2021,6/10/2021
12/2/2020,quarterly,$0.56 ,1.04%,2/17/2021,2/18/2021,3/11/2021
9/15/2020,quarterly,$0.56 ,1.07%,11/18/2020,11/19/2020,12/10/2020
6/17/2020,quarterly,$0.51 ,1.05%,8/19/2020,8/20/2020,9/10/2020
3/9/2020,quarterly,$0.51 ,1.35%,5/20/2020,5/21/2020,6/11/2020
12/4/2019,quarterly,$0.51 ,1.36%,2/19/2020,2/20/2020,3/12/2020
9/18/2019,quarterly,$0.51 ,1.47%,11/20/2019,11/21/2019,12/12/2019
6/12/2019,Quarterly,$0.46 ,1.39%,8/14/2019,8/15/2019,9/12/2019
3/11/2019,quarterly,$0.46 ,1.63%,5/15/2019,5/15/2019,6/13/2019
11/28/2018,quarterly,$0.46 ,1.66%,2/20/2019,2/21/2019,3/14/2019
9/18/2018,quarterly,$0.46 ,1.63%,11/14/2018,11/15/2018,12/13/2018
6/13/2018,quarterly,$0.42 ,1.67%,8/15/2018,8/16/2018,9/13/2018
3/12/2018,quarterly,$0.42 ,1.74%,5/16/2018,5/17/2018,6/14/2018
11/29/2017,quarterly,$0.42 ,2%,2/14/2018,2/15/2018,3/8/2018
9/19/2017,quarterly,$0.42 ,2.24%,11/15/2017,11/16/2017,12/14/2017
6/13/2017,quarterly,$0.39 ,2.22%,8/15/2017,8/17/2017,9/14/2017
3/14/2017,quarterly,$0.39 ,2.41%,5/16/2017,5/18/2017,6/8/2017
11/30/2016,quarterly,$0.39 ,2.64%,2/14/2017,2/16/2017,3/9/2017
9/20/2016,quarterly,$0.39 ,2.70%,11/15/2016,11/17/2016,12/8/2016
6/14/2016,quarterly,$0.36 ,2.86%,8/16/2016,8/18/2016,9/8/2016
3/15/2016,quarterly,$0.36 ,2.63%,5/17/2016,5/19/2016,6/9/2016
12/2/2015,quarterly,$0.36 ,2.58%,2/16/2016,2/18/2016,3/10/2016
